Column1,Will #1,Last Max,Will (bigger net),Last Max,Will (Adam),Last Max,Brian (new),Brian (new) Max
364,,,,,,,0.8478,0.8552
365,,,,,,,0.849,0.8552
366,,,,,,,0.8497,0.8552
367,,,,,,,0.8495,0.8552
368,,,,,,,0.8436,0.8552
369,,,,,,,0.8524,0.8552
370,,,,,,,0.8498,0.8552
371,,,,,,,0.853,0.8552
372,,,,,,,0.8461,0.8552
373,,,,,,,0.8521,0.8552
374,,,,,,,0.8517,0.8552
375,,,,,,,0.8498,0.8552
376,,,,,,,0.8517,0.8552
377,,,,,,,0.8472,0.8552
378,,,,,,,0.8441,0.8552
379,,,,,,,0.8499,0.8552
380,,,,,,,0.8492,0.8552
381,,,,,,,0.8469,0.8552
